num,cell,port,function,safe,ccell,disval,rslt,acio,toggle,differential,pinmap,channel
720,AC_1,PCIE_24_TXP,output2,1,,,,TRUE,FALSE,PCIE_24_TXN,pcie_24_txp,TRUE
721,bc_4,*,segment select,1,,,,,,,,
722,bc_4,*,power,1,,,,,,,,
723,bc_4,*,delay,0,,,,,,,,
724,bc_4,USB31_10_RXN,observe_only,1,,,,TRUE,FALSE,,usb31_10_rxn,TRUE
725,bc_4,USB31_10_RXP,observe_only,1,,,,TRUE,FALSE,,usb31_10_rxp,TRUE
726,AC_1,USB31_10_TXP,output2,1,,,,TRUE,FALSE,USB31_10_TXN,usb31_10_txp,TRUE
727,bc_4,USB31_9_RXN,observe_only,1,,,,TRUE,FALSE,,usb31_9_rxn,TRUE
728,bc_4,USB31_9_RXP,observe_only,1,,,,TRUE,FALSE,,usb31_9_rxp,TRUE
729,AC_1,USB31_9_TXP,output2,1,,,,TRUE,FALSE,USB31_9_TXN,usb31_9_txp,TRUE
730,bc_4,USB31_8_RXN,observe_only,1,,,,TRUE,FALSE,,usb31_8_rxn,TRUE
731,bc_4,USB31_8_RXP,observe_only,1,,,,TRUE,FALSE,,usb31_8_rxp,TRUE
732,AC_1,USB31_8_TXP,output2,1,,,,TRUE,FALSE,USB31_8_TXN,usb31_8_txp,TRUE
733,bc_4,USB31_7_RXN,observe_only,1,,,,TRUE,FALSE,,usb31_7_rxn,TRUE
734,bc_4,USB31_7_RXP,observe_only,1,,,,TRUE,FALSE,,usb31_7_rxp,TRUE
735,AC_1,USB31_7_TXP,output2,1,,,,TRUE,FALSE,USB31_7_TXN,usb31_7_txp,TRUE
736,bc_4,USB31_6_RXN,observe_only,1,,,,TRUE,FALSE,,usb31_6_rxn,TRUE
737,bc_4,USB31_6_RXP,observe_only,1,,,,TRUE,FALSE,,usb31_6_rxp,TRUE
738,AC_1,USB31_6_TXP,output2,1,,,,TRUE,FALSE,USB31_6_TXN,usb31_6_txp,TRUE
739,bc_4,USB31_5_RXN,observe_only,1,,,,TRUE,FALSE,,usb31_5_rxn,TRUE
740,bc_4,USB31_5_RXP,observe_only,1,,,,TRUE,FALSE,,usb31_5_rxp,TRUE
741,AC_1,USB31_5_TXP,output2,1,,,,TRUE,FALSE,USB31_5_TXN,usb31_5_txp,TRUE
742,bc_4,USB31_4_RXN,observe_only,1,,,,TRUE,FALSE,,usb31_4_rxn,TRUE
743,bc_4,USB31_4_RXP,observe_only,1,,,,TRUE,FALSE,,usb31_4_rxp,TRUE
744,AC_1,USB31_4_TXP,output2,1,,,,TRUE,FALSE,USB31_4_TXN,usb31_4_txp,TRUE
